year,c_emissions_pg,ch4_emissions_tg,n2o_emissions_tg,total_forcing_wm2
1962,3.9355717,241.57083,4.1836477,.6626540000000034
1963,4.0922947,244.61948,4.3883117,.6831910000000079
1964,4.2595879,247.66813,4.6374693,.7037280000000052
1965,4.4092558,250.71679,4.8968181,.7242650000000026
1966,4.5986968,253.76544,5.195583,.7448020000000071
1967,4.7086254,256.81409,5.457478,.7653390000000044
1968,4.8232028,259.86274,5.619744,.7858760000000018
1969,5.0383879,262.9114,5.784831,.8064130000000063
1970,5.273112899999999,265.96005,5.9368752,.82695
1971,5.301891299999999,270.02505,5.6049759,.8590849999999932
1972,5.4460621,274.09004,5.9181309,.891219999999997
1973,5.6680986,278.15504,6.0449043,.9233549999999937
1974,5.682737100000001,282.22003,5.9406002,.9554899999999904
1975,5.6465876,286.28503,6.1409693,.9876249999999942
1976,5.973607700000001,290.35002,6.3042588,1.019759999999991
1977,6.1229874,294.41502,6.534405,1.051894999999995
1978,6.19537,298.48002,6.6193729,1.084029999999991
1979,6.4517127,302.54501,7.007773,1.116164999999995
1980,6.3572096,306.61001,7.0613923,1.1483
1981,6.212862100000001,310.01251,6.8417522,1.185141000000016
1982,6.3174055,313.415,7.1189858,1.221982000000011
1983,6.3355201,316.8175,7.2168971,1.258823000000007
1984,6.5500833,320.22,7.0481314,1.295664000000016
1985,6.719344899999999,323.6225,7.0169243,1.332505000000012
1986,6.8972023,327.025,7.0704917,1.369346000000007
1987,7.0470086,330.42749,7.4616728,1.406187000000017
1988,7.280724800000001,333.82999,7.2025077,1.443028000000012
1989,7.412643600000001,337.23249,7.3310397,1.479869000000008
1990,7.4634833,340.63499,7.5856812,1.51671
1991,7.6159799,336.59218,7.4023631,1.537388
1992,7.4215304,332.54937,7.7989323,1.558066000000004
1993,7.422100599999999,328.50656,7.3131034,1.578744
1994,7.5315956,324.46375,7.5072841,1.599422000000004
1995,7.6470104,320.42094,7.6191035,1.620100000000001
1996,7.7611025,316.37814,7.6520638,1.640777999999997
1997,7.8371397,312.33533,7.9097526,1.661456000000001
1998,7.8028431,308.29252,7.8957263,1.682133999999998
1999,7.7517892,304.24971,7.5269849,1.702812000000002
